Asset_ID,Publish_Date,IG_Publish_Time,IG_Publish_Time_UK,Topic,Caption,Content_Bucket,Asset type,Cross_Posted,IG_Post_ID,IG_Permalink,IG_Duration_sec,IG_Views,IG_Reach,IG_Likes,IG_Comments,IG_Saves,IG_Shares,IG_Repost,IG_Profile_Visits,IG_Follows,IG_Follows_Attributed,Skip Rate,Avg Watch Time(sec),IG_External_Link_Tap,TT_Video_Title,TT_Link,TT_Post_Time,TT_Views,TT_Likes,TT_Comments,TT_Shares,TT_Saves,TT_Watched_Full,TT_Profile_Visits,TT_Follows,Main_Learning,Column 1,Column 2,Post_Objective,Featured_Person,Hook_Cover_Text,Caption_Opening_Line,Collab_Post,CTA,Column 3,Column 4
1,29/10/2025,,,What to eat or avoid - endo,,Education,Carousel,FALSE,,,,279,,1,,1,0,,1,0,,,,,,,,,,,,,,,,,,,Education,,,,No,,,
2,31/10/2025,,,find best care on docmap,,Brand,Static Post,FALSE,,,,302,,2,1,0,0,,2,0,,,,,,,,,,,,,,,,,,,Brand,,,,No,,,
3,03/11/2025,,,Therapy - in person or online,,Education,Carousel,FALSE,,,,304,,3,3,0,0,,2,0,,,,,,,,,,,,,,,,,,,Education,,,,No,,,
4,06/11/2025,,,Capitalism stole your lunch,,Story,Carousel,FALSE,,,,321,,2,2,0,0,,2,0,,,,,,,,,,,,,,,,,,,Story,,,,No,,,
5,07/11/2025,,,Find good doctor,,Brand,Static Post,FALSE,,,,312,,4,0,0,1,,2,0,,,,,,,,,,,,,,,,,,,Brand,,,,No,,,
6,20/11/2025,,,Be kind to yourself,,Validation,Reel,TRUE,,,,91,,3,2,0,0,,1,1,,71.90%,3,,,,,,,,,,,,,,,,Validation,,,,No,,,
7,24/11/2025,,,Ginger Tumeric Recipe -endo,,Education,Reel,TRUE,,,,194,,5,2,1,1,,1,1,,63.10%,6,,"Dealing with bloating and inflammation is tough, but relief doesn't have to be complicated. Ingredients: 2 tbsp extra virgin olive oil 2 tbsp turmeric powder ¼ cup finely chopped fresh ginger 1 large onion, chopped 1 tbsp whole black peppercorns 2 bay leaves 3 large celery stalks, chopped 2 large carrots, chopped 1 handful parsley (or cilantro) 1 tbsp sea salt 8 cups water 1 tbsp raw apple cider vinegar Why it works: Turmeric: Contains curcumin, which is known to help lower inflammation in the body Ginger: A natural way to aid digestion and settle the stomach. Let us know what is your go to food that helps you with Endo Belly.",https://www.tiktok.com/@docmap/video/7576319629883215126,2025/11/24 15:50:03,377,16,2,2,8,3.83%,0,0,,,,Education,,,,No,,,
8,26/11/2025,,,Willing to be disliked- megan's story,,Story,Carousel,FALSE,,,,153,,3,0,0,0,,0,0,,,,,,,,,,,,,,,,"No context, random patient story",,,Story,,,,No,,,
9,03/12/2025,,,Zucchini fritters,,Education,Reel,TRUE,,,,175,,4,4,0,0,,0,0,,79%,5,,"If your gut’s being dramatic again, these zucchini, pea & mint fritters might just be the peace offering it needs. 🌿 They’re light, IBS-friendly, and take only 20 minutes - no weird ingredients, just good food that won’t upset your stomach. You’ll need (serves 2 / makes 6 fritters): ½ cup mint leaves, finely chopped 1 small potato (about 100g), grated 130g courgette, grated 20g Parmesan cheese, finely grated 30g green peas 1 egg 40g gluten-free flour Zest of ½ lemon Salt & pepper Olive oil for frying How to: 1️⃣ Grate the potato and courgette, then squeeze out the extra moisture with a clean tea towel. 2️⃣ Mix everything together in a bowl — potato, courgette, peas, Parmesan, mint, lemon zest, egg, flour, salt, and pepper. 3️⃣ Heat a little olive oil in a non-stick pan. Add spoonfuls of the mix and fry 3–4 mins each side until golden. Low FODMAP, easy to digest, and surprisingly good.",https://www.tiktok.com/@docmap/video/7579656464449506582,2025/12/03 15:39:00,322,5,0,0,5,2.09%,0,0,,,,Education,,,,No,,,
10,04/12/2025,,,Truth we dont like to hear,,Validation,Carousel,FALSE,,,,105,,2,0,0,0,,1,0,,,,,,,,,,,,,,,,"not quite validation, telling people to confront the truth and stop procrastinating",,,Validation,,,,No,,,
11,10/12/2025,,,Ask GPT what endo feels like,,Validation,Carousel,FALSE,,,,120,,4,3,1,,,2,0,,,,,,,,,,,,,,,,ask gpt what it feels like if you have endo so if you have it you know what it feels like to live with it? thats a very odd topic,,,Validation,,,,No,,,
